City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Marsa Matruh,31.3525,27.2453,59.2,58,20,8.05,few clouds
200,Madimba,-10.4,40.3333,78.35,89,85,5.68,overcast clouds
201,Lerwick,60.1545,-1.1494,42.8,87,100,5.64,overcast clouds
202,Esperance,-33.8667,121.9,58.84,73,0,11.34,clear sky
203,Avera,33.194,-82.5271,58.66,25,11,16.42,few clouds
204,Maumere,-8.6199,122.2111,78.62,80,98,0.47,overcast clouds
205,Guerrero Negro,27.9769,-114.0611,77.85,24,18,4.03,few clouds
206,Kotido,2.9806,34.1331,80.35,29,65,13.53,broken clouds
207,Parintins,-2.6283,-56.7358,86.32,60,27,4.54,scattered clouds
208,Palana,59.1167,159.9667,-8.07,95,86,6.91,overcast clouds
209,Tarakan,3.3,117.6333,76.5,94,20,0.0,few clouds
210,Kalanwali,29.85,74.95,53.06,61,0,7.38,clear sky
211,Myitkyina,25.3833,97.4,53.01,70,0,2.66,clear sky
212,Olavarria,-36.8927,-60.3225,78.03,42,0,10.89,clear sky
213,Portland,45.5234,-122.6762,57.96,51,20,3.0,few clouds
214,Pacific Grove,36.6177,-121.9166,75.42,59,0,5.01,clear sky
215,Perleberg,53.0667,11.8667,42.89,78,100,11.03,overcast clouds
216,Kawalu,-7.3817,108.2082,72.52,95,100,1.81,overcast clouds
217,Vostok,46.4856,135.8833,2.08,99,100,0.83,overcast clouds
218,Sola,-13.8833,167.55,79.47,89,75,0.0,broken clouds
219,San Juan,-31.5375,-68.5364,85.87,23,0,5.88,clear sky
220,Taoudenni,22.6783,-3.9836,67.84,21,0,12.15,clear sky
221,Aska,19.6061,84.6725,61.47,56,30,2.28,scattered clouds
222,Tiebissou,7.1574,-5.2257,95.25,70,68,8.14,light rain
223,Petropavlovskaya,45.0819,40.4512,32.0,75,1,7.87,clear sky
224,Souillac,-20.5167,57.5167,81.36,83,40,10.36,scattered clouds
225,Hargeysa,9.56,44.065,60.94,74,65,7.78,broken clouds
226,Rorvik,64.8621,11.2373,33.91,86,75,17.27,broken clouds
227,Fare,-16.7,-151.0167,80.94,74,100,14.94,light rain
228,Cabedelo,-6.9811,-34.8339,88.47,68,6,11.07,clear sky
229,Benguela,-12.5763,13.4055,77.52,78,92,3.56,overcast clouds
230,Ust-Tsilma,65.441,52.1498,-1.53,99,59,3.98,broken clouds
231,Klyuchi,52.2667,79.1667,25.14,93,100,14.07,overcast clouds
232,Kavaratti,10.5669,72.642,80.76,72,37,6.62,scattered clouds
233,Ahipara,-35.1667,173.1667,63.81,68,69,9.1,broken clouds
234,Kichera,55.9375,110.0997,-15.61,77,2,5.93,clear sky
235,Cherskiy,68.75,161.3,-20.07,97,100,8.03,overcast clouds
236,Olympia,47.0379,-122.9007,52.23,72,0,3.44,clear sky
237,Pontianak,-0.0333,109.3333,76.98,94,75,1.14,broken clouds
238,Biloela,-24.4167,150.5,67.19,84,5,14.74,clear sky
239,Kazerun,29.6195,51.6541,54.05,48,0,6.13,clear sky
240,Esterhazy,50.65,-102.0843,25.65,85,100,23.55,overcast clouds
241,Korsakovo,53.2677,37.3569,21.69,90,100,12.39,overcast clouds
242,Boali,4.8005,18.1275,84.07,19,100,1.3,overcast clouds
243,College,64.8569,-147.8028,11.21,83,100,0.0,light snow
244,Saskylakh,71.9167,114.0833,-16.02,85,38,3.56,scattered clouds
245,Geraldton,-28.7667,114.6,73.81,88,100,6.91,overcast clouds
246,Ilulissat,69.2167,-51.1,16.45,76,100,10.51,overcast clouds
247,Kongolo,-5.3833,27.0,70.14,96,100,1.07,overcast clouds
248,Igarka,67.4667,86.5833,-10.93,89,10,7.72,clear sky
249,Biak,-0.9131,122.8766,75.16,85,100,2.77,overcast clouds
250,Palmer,42.1584,-72.3287,33.03,66,75,6.91,broken clouds
251,Ordzhonikidze,52.4411,61.7408,17.58,96,100,5.46,overcast clouds
252,Suluq,31.6682,20.2521,55.04,72,0,6.58,clear sky
253,Gayny,60.3071,54.3241,5.31,100,86,3.04,overcast clouds
254,Omboue,-1.5746,9.2618,78.85,83,98,3.58,overcast clouds
255,Meulaboh,4.1363,96.1285,76.46,89,95,3.85,overcast clouds
256,Tocopilla,-22.092,-70.1979,74.08,65,91,8.86,overcast clouds
257,Afzalgarh,29.4,78.6833,53.15,63,0,2.95,clear sky
258,Itoman,26.1247,127.6694,66.22,88,75,14.97,light rain
259,Farafangana,-22.8167,47.8333,76.41,88,2,4.56,clear sky
260,Dalvik,65.9702,-18.5286,-2.27,47,97,8.23,overcast clouds
261,Upernavik,72.7868,-56.1549,-6.79,96,100,14.79,overcast clouds
262,Baculin,7.4525,126.5842,75.78,83,100,4.85,overcast clouds
263,Wamba,8.9333,8.6,81.19,13,13,0.63,few clouds
264,Ust-Kulom,61.6864,53.6902,4.03,100,95,1.5,overcast clouds
265,Talnakh,69.4865,88.3972,-7.62,70,14,9.13,few clouds
266,Port Macquarie,-31.4333,152.9167,63.9,78,98,2.59,overcast clouds
267,Ban Dung,17.699,103.2596,77.88,99,36,11.36,scattered clouds
268,Ginda,30.6945,78.4932,40.46,37,0,6.35,clear sky
269,Edd,13.9297,41.6925,77.94,76,90,4.43,overcast clouds
270,Puerto Colombia,10.9878,-74.9547,89.69,68,74,23.29,broken clouds
271,El Alto,-4.2714,-81.2147,87.46,66,95,14.05,overcast clouds
272,Husavik,66.0449,-17.3389,-2.29,80,57,13.11,broken clouds
273,Kamenka,51.3223,42.7678,14.74,95,8,8.03,clear sky
274,Uinskoye,56.8817,56.5813,13.01,98,99,3.51,overcast clouds
275,Baghdad,33.3406,44.4009,57.11,35,0,9.22,clear sky
276,Truth Or Consequences,33.1284,-107.2528,54.91,33,0,4.09,clear sky
