City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Agadez,NE,19.75,10.25,63.61,14,0,4.52,clear sky
158,Oskemen,KZ,49.9565,82.6119,21.16,85,100,13.42,light snow
159,Kodiak,US,57.79,-152.4072,34.61,78,10,3.85,clear sky
160,Kanye,BW,-24.9667,25.3327,69.42,34,62,3.47,broken clouds
161,Sabang,ID,5.8933,95.3214,81.61,74,49,8.75,scattered clouds
162,Minab,IR,27.1467,57.0801,62.92,94,95,1.14,overcast clouds
163,College,US,64.8569,-147.8028,13.8,84,100,0.0,light snow
164,Bridlington,GB,54.0831,-0.1919,48.38,91,100,11.01,overcast clouds
165,Jacareacanga,BR,-6.2222,-57.7528,80.65,91,85,2.28,overcast clouds
166,Hirado,JP,33.3597,129.5531,49.39,71,100,25.93,light rain
167,Hilo,US,19.7297,-155.09,76.12,72,0,3.44,clear sky
168,Koregaon,IN,18.65,74.0833,68.95,51,5,6.44,clear sky
169,Ramanathapuram,IN,9.3833,78.8333,77.14,72,72,9.55,broken clouds
170,Pacific Grove,US,36.6177,-121.9166,79.81,53,0,4.61,clear sky
171,Nouadhibou,MR,20.931,-17.0347,67.98,73,100,16.11,overcast clouds
172,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,77,75,7.07,broken clouds
173,Conde,BR,-7.2597,-34.9075,85.46,66,20,12.66,few clouds
174,Kalmunai,LK,7.4167,81.8167,76.03,83,98,6.33,overcast clouds
175,Constitucion,CL,-35.3333,-72.4167,67.98,70,53,9.31,broken clouds
176,Abha,SA,18.2164,42.5053,57.45,31,0,4.61,clear sky
177,Guerrero Negro,MX,27.9769,-114.0611,80.01,21,15,4.81,few clouds
178,Tecoanapa,MX,16.5167,-98.75,85.12,50,66,12.21,broken clouds
179,Mahebourg,MU,-20.4081,57.7,81.25,89,75,6.91,broken clouds
180,Saint-Pierre,RE,-21.3393,55.4781,80.28,83,20,18.41,few clouds
181,Iaciara,BR,-14.0958,-46.6317,76.28,76,56,2.51,light rain
182,Coahuayana,MX,18.7333,-103.6833,92.68,31,95,8.52,overcast clouds
183,Excelsior Springs,US,39.3392,-94.2261,33.71,35,0,11.5,clear sky
184,Cardston,CA,49.2,-113.3019,50.29,34,100,8.05,overcast clouds
185,Almaznyy,RU,48.0448,40.045,28.54,89,5,4.41,clear sky
186,Ordynskoye,RU,54.3656,81.8994,23.04,92,100,14.76,light snow
187,Nikolskoye,RU,59.7035,30.7861,33.87,89,100,12.95,snow
188,Usinsk,RU,65.9939,57.5281,9.63,96,99,9.4,overcast clouds
189,Katsuura,JP,35.1333,140.3,38.1,97,100,30.96,light rain
190,Luwuk,ID,-0.9516,122.7875,76.62,85,100,3.0,overcast clouds
191,Bilma,NE,18.6853,12.9164,69.84,11,0,6.6,clear sky
192,Havelock,US,34.8791,-76.9013,46.38,88,100,3.44,overcast clouds
193,Quchan,IR,37.106,58.5095,32.27,84,24,14.81,few clouds
194,Zhigansk,RU,66.7697,123.3711,-36.8,100,65,2.28,broken clouds
195,Sambava,MG,-14.2667,50.1667,76.73,86,49,3.51,moderate rain
196,Olafsvik,IS,64.8945,-23.7142,29.8,93,100,10.89,snow
197,Mildura,AU,-34.2,142.15,75.16,43,91,0.0,overcast clouds
198,Bethel,US,41.3712,-73.414,31.19,71,100,9.22,overcast clouds
199,Lorengau,PG,-2.0226,147.2712,80.33,79,100,1.54,overcast clouds
200,Coquimbo,CL,-29.9533,-71.3436,73.13,53,0,13.8,clear sky
201,Drayton Valley,CA,53.2168,-114.9854,35.91,78,98,5.61,overcast clouds
202,Victoria Point,AU,-27.5833,153.3,71.19,86,67,4.0,light rain
203,Seydi,TM,39.4816,62.9137,42.35,45,17,7.43,few clouds
204,Sinnamary,GF,5.3833,-52.95,78.8,86,67,9.57,broken clouds
205,Oranjestad,AW,12.524,-70.027,82.35,69,75,20.71,broken clouds
206,Batemans Bay,AU,-35.7167,150.1833,65.1,80,100,4.56,overcast clouds
